날짜,출연자,소스,값
2025-12-25,최강록,youtube,26.0
2025-12-25,후덕죽,datalab,52.94202
2025-12-25,후덕죽,google,93.0
2025-12-25,후덕죽,youtube,42.0
2025-12-26,샘킴,datalab,31.45784
2025-12-26,샘킴,google,26.0
2025-12-26,샘킴,youtube,43.0
2025-12-26,선재스님,datalab,42.66962
2025-12-26,선재스님,google,30.0
2025-12-26,선재스님,youtube,32.0
2025-12-26,손종원,datalab,70.1142
2025-12-26,손종원,google,68.0
2025-12-26,손종원,youtube,81.0
2025-12-26,아기맹수,datalab,45.76729
2025-12-26,아기맹수,google,101.0
2025-12-26,아기맹수,youtube,42.0
2025-12-26,요리괴물,datalab,17.34422
2025-12-26,요리괴물,google,39.0
2025-12-26,요리괴물,youtube,56.0
2025-12-26,윤준모,datalab,24.00041
2025-12-26,윤준모,google,0.0
2025-12-26,윤준모,youtube,11.0
2025-12-26,임성근,datalab,23.35233
2025-12-26,임성근,google,38.0
2025-12-26,임성근,youtube,35.0
2025-12-26,정호영,datalab,48.13539
2025-12-26,정호영,google,40.0
2025-12-26,정호영,youtube,88.0
2025-12-26,최강록,datalab,16.88696
2025-12-26,최강록,google,23.0
2025-12-26,최강록,youtube,25.0
2025-12-26,후덕죽,datalab,32.94778
2025-12-26,후덕죽,google,63.0
2025-12-26,후덕죽,youtube,46.0
2025-12-27,샘킴,datalab,31.76343
2025-12-27,샘킴,google,0.0
2025-12-27,샘킴,youtube,28.0
2025-12-27,선재스님,datalab,42.26342
2025-12-27,선재스님,google,43.0
2025-12-27,선재스님,youtube,24.0
2025-12-27,손종원,datalab,68.04264
2025-12-27,손종원,google,82.0
2025-12-27,손종원,youtube,81.0
2025-12-27,아기맹수,datalab,39.56984
2025-12-27,아기맹수,google,58.0
2025-12-27,아기맹수,youtube,42.0
2025-12-27,요리괴물,datalab,12.77228
2025-12-27,요리괴물,google,28.0
2025-12-27,요리괴물,youtube,45.0
2025-12-27,윤준모,datalab,21.53275
2025-12-27,윤준모,google,0.0
2025-12-27,윤준모,youtube,7.0
2025-12-27,임성근,datalab,24.89854
2025-12-27,임성근,google,48.0
2025-12-27,임성근,youtube,39.0
2025-12-27,정호영,datalab,46.2589
2025-12-27,정호영,google,54.0
2025-12-27,정호영,youtube,77.0
2025-12-27,최강록,datalab,16.39041
2025-12-27,최강록,google,29.0
2025-12-27,최강록,youtube,23.0
2025-12-27,후덕죽,datalab,34.41159
2025-12-27,후덕죽,google,41.0
2025-12-27,후덕죽,youtube,37.0
2025-12-28,샘킴,datalab,34.01042
2025-12-28,샘킴,google,26.0
2025-12-28,샘킴,youtube,38.0
2025-12-28,선재스님,datalab,37.19723
2025-12-28,선재스님,google,42.0
2025-12-28,선재스님,youtube,20.0
