restaurant,reviewer,review_date,reviewer_rating,day_night
Original Numbers 청담,허인정산부인과,2025.12.24,4.7,저녁
Original Numbers 청담,밝은 마스터_11906,2025.12.22,5.0,저녁
Original Numbers 청담,risdeveau,2025.12.21,4.7,저녁
Original Numbers 청담,jwtbtb,2025.12.21,5.0,저녁
Original Numbers 청담,한입만호랑이,2025.12.20,5.0,점심
Original Numbers 청담,Hoygold,2025.12.20,4.0,점심
Original Numbers 청담,도둑밥이,2025.12.19,5.0,저녁
Original Numbers 청담,굴방랭구,2025.12.19,4.5,저녁
Original Numbers 청담,바스갱,2025.12.19,5.0,점심
Original Numbers 청담,흥미로운 식도락가_87036,2025.12.19,5.0,점심
Original Numbers 청담,꿈꾸는 식도락가_6062,2025.12.18,5.0,점심
Original Numbers 청담,suewhite,2025.12.18,4.5,점심
Original Numbers 청담,GonnaDieEating,2025.12.18,5.0,저녁
Original Numbers 청담,곰식당,2025.12.17,5.0,저녁
Original Numbers 청담,요옹이,2025.12.14,5.0,저녁
Original Numbers 청담,지훈__,2025.12.14,5.0,저녁
Original Numbers 청담,낼름이,2025.12.14,4.3,저녁
Original Numbers 청담,NYC1,2025.12.13,5.0,점심
Original Numbers 청담,Chard.been,2025.12.13,5.0,점심
Original Numbers 청담,임채윤,2025.12.12,5.0,저녁
Original Numbers 청담,MMOIOI,2025.12.11,4.0,점심
Original Numbers 청담,스팟리스마인드,2025.12.11,4.8,저녁
Original Numbers 청담,H..N,2025.12.10,5.0,저녁
Original Numbers 청담,Je suis fatigué,2025.12.10,5.0,점심
Original Numbers 청담,Helenah,2025.12.10,4.7,저녁
Original Numbers 청담,tkfkddl86,2025.12.09,5.0,저녁
Original Numbers 청담,떡시루케이크,2025.12.09,5.0,저녁
앰배서더 서울 풀만 호빈,흥미로운 셀럽_41186,2026.01.13,4.7,저녁
앰배서더 서울 풀만 호빈,안또ㅎ,2026.01.13,5.0,저녁
앰배서더 서울 풀만 호빈,iastro,2026.01.12,5.0,점심
앰배서더 서울 풀만 호빈,현웅00,2026.01.10,5.0,저녁
앰배서더 서울 풀만 호빈,예리한 마스터_22727,2026.01.10,5.0,저녁
앰배서더 서울 풀만 호빈,정직한 맛사냥꾼_94686,2026.01.10,5.0,점심
앰배서더 서울 풀만 호빈,빛나는 식도락가_78407,2026.01.08,5.0,저녁
